id,year,state_name,state_code,district_name,district_code,registration_circles,protection_of_civil_rights_act,murder,attempt_to_commit_murder,rape,attempt_to_commit_rape,assault_on_women,insult_to_the_modesty_of_women,kidnapping_and_abduction,dacoity,robbery,arson,grievous_hurt,riots,other_ipc_crimes,sc_st_prevention_of_atrocities
521,2016,Odisha,21,Sambalpur,371,Sambalpur,0,2,0,1,0,0,0,0,0,0,0,0,1,26,0
522,2016,Odisha,21,Sonepur,372,Sonepur,0,0,0,0,0,3,0,0,0,0,0,0,1,10,0
523,2016,Odisha,21,Cuttack,350,Srp (Cuttack),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,2016,Odisha,21,Sundargarh,373,Srp (Rourkela),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,2016,Odisha,21,Sundargarh,373,Sundargarh,0,1,0,0,0,2,0,1,0,1,0,0,1,12,0
526,2016,Odisha,21,Cuttack,350,Cid Crime Branch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527,2016,Punjab,3,Amritsar,27,Amritsar Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,2016,Punjab,3,Barnala,605,Barnala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
529,2016,Punjab,3,Gurdaspur,32,Batala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,2016,Punjab,3,Bathinda,28,Bathinda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531,2016,Punjab,3,Amritsar,27,Cp Amritsar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,2016,Punjab,3,Jalandhar,34,Cp Jalandhar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,2016,Punjab,3,Ludhiana,36,Cp Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534,2016,Punjab,3,Faridkot,29,Faridkot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,2016,Punjab,3,Fatehgarh Sahib,30,Fatehgarh Sahib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536,2016,Punjab,3,Fazilka,651,Fazilka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537,2016,Punjab,3,Ferozepur,31,Ferozepur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538,2016,Punjab,3,Patiala,41,G. R. P.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
539,2016,Punjab,3,Gurdaspur,32,Gurdaspur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,2016,Punjab,3,Hoshiarpur,33,Hoshiarpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541,2016,Punjab,3,Jalandhar,34,Jalandhar Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542,2016,Punjab,3,Kapurthala,35,Kapurthala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,2016,Punjab,3,Ludhiana,36,Khanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544,2016,Punjab,3,Ludhiana,36,Ludhiana Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545,2016,Punjab,3,Mansa,37,Mansa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546,2016,Punjab,3,Moga,38,Moga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
547,2016,Punjab,3,Sri Muktsar Sahib,39,Muktsar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548,2016,Punjab,3,Pathankot,662,Pathankot,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
549,2016,Punjab,3,Patiala,41,Patiala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,2016,Punjab,3,Rupnagar,42,Ropar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551,2016,Punjab,3,Sangrur,43,Sangrur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552,2016,Punjab,3,S.A.S Nagar,608,Sas Nagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553,2016,Punjab,3,Shahid Bhagat Singh Nagar,40,Sbs Nagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,2016,Punjab,3,Tarn Taran,609,Tarn Taran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,2016,Rajasthan,8,Ajmer,86,Ajmer,0,0,1,1,0,0,0,0,0,0,0,0,0,19,1
556,2016,Rajasthan,8,Alwar,87,Alwar,0,2,0,5,0,2,0,1,0,0,0,1,0,54,1
557,2016,Rajasthan,8,Banswara,88,Banswara,0,1,0,2,0,0,0,0,0,0,0,0,0,24,7
558,2016,Rajasthan,8,Baran,89,Baran,0,1,0,14,0,0,0,1,0,0,0,0,0,42,2
559,2016,Rajasthan,8,Barmer,90,Barmer,0,3,0,2,0,7,0,0,0,0,0,0,0,56,0
